Id,Student_Age,Sex,High_School_Type,Scholarship,Additional_Work,Sports_activity,Transportation,Weekly_Study_Hours,Attendance,Reading,Notes,Listening_in_Class,Project_work,Grade
5099,18,Male,State,75%,No,Yes,Private,0,Never,No,No,No,Yes,DD
5100,20,Male,State,50%,No,No,Private,0,Never,No,No,No,Yes,DD
5101,18,Male,State,75%,No,No,Private,0,Sometimes,No,Yes,Yes,Yes,DC
5102,18,Male,State,75%,No,No,Bus,2,Always,No,No,Yes,Yes,DD
5103,18,Male,State,50%,No,No,Bus,0,Always,No,No,Yes,Yes,DD
5104,18,Male,Private,75%,No,No,Bus,12,Always,No,Yes,Yes,No,DD
5105,18,Female,State,50%,No,No,Private,0,Sometimes,No,Yes,No,Yes,BB
5106,18,Male,State,75%,Yes,Yes,Private,0,Always,Yes,No,No,No,DD
5107,18,Male,State,75%,No,Yes,Private,0,Always,No,No,No,Yes,DD
5108,18,Female,State,75%,Yes,Yes,Private,0,Always,No,Yes,Yes,No,DC
5109,22,Female,Private,100%,No,Yes,Private,2,Sometimes,Yes,Yes,No,Yes,DC
5110,18,Male,Private,50%,No,Yes,Bus,0,Sometimes,No,Yes,No,Yes,DD
5111,22,Male,State,50%,No,No,Private,2,Never,No,Yes,No,Yes,BA
5112,18,Female,Private,100%,No,Yes,Private,0,Always,No,No,Yes,Yes,BA
5113,20,Female,Other,50%,Yes,No,Private,0,3,No,Yes,Yes,Yes,BA
5114,21,Female,Other,50%,No,No,Private,0,Never,No,Yes,No,Yes,AA
5115,21,Female,State,100%,Yes,Yes,Private,8,Always,Yes,Yes,Yes,Yes,BA
5116,19,Female,State,100%,Yes,No,Bus,0,Always,Yes,Yes,Yes,Yes,AA
5117,21,Female,State,100%,No,No,Private,0,Always,Yes,Yes,Yes,No,AA
5118,26,Female,Private,50%,No,Yes,Private,0,Always,No,Yes,No,Yes,AA
5119,18,Male,State,100%,No,Yes,Bus,0,Never,No,Yes,No,No,AA
5120,21,Female,State,75%,No,Yes,Private,0,Always,No,No,Yes,Yes,BA
5121,21,Female,Private,50%,Yes,Yes,Bus,2,Sometimes,No,No,Yes,Yes,AA
5122,21,Female,State,50%,Yes,Yes,Bus,0,Sometimes,Yes,Yes,Yes,No,Fail
5123,18,Male,State,100%,No,Yes,Private,0,Always,Yes,No,Yes,Yes,BA
5124,22,Female,Other,50%,No,No,Private,12,Always,Yes,No,No,No,AA
5125,18,Female,State,75%,Yes,Yes,Bus,0,Always,No,No,Yes,Yes,
5126,18,Female,State,100%,Yes,Yes,Private,0,Always,No,Yes,Yes,No,BA
5127,18,Female,Private,75%,Yes,Yes,Bus,12,Sometimes,No,Yes,6,Yes,BB
5128,18,Female,State,75%,No,No,Private,0,Never,No,No,No,Yes,AA
5129,18,Female,State,75%,No,Yes,Bus,0,Never,No,No,No,Yes,Fail
5130,18,Female,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,Yes,No,BB
5131,18,Female,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,AA
5132,18,Female,Private,100%,No,Yes,Private,0,Sometimes,No,Yes,Yes,Yes,CB
5133,18,Female,Private,100%,No,Yes,Private,0,Always,No,Yes,No,No,BB
5134,18,Female,State,100%,No,No,Bus,0,Always,Yes,Yes,Yes,Yes,BB
5135,18,Female,State,75%,No,Yes,Private,0,Sometimes,No,Yes,Yes,Yes,AA
5136,22,Female,State,50%,Yes,Yes,Private,0,Never,No,No,Yes,Yes,BA
5137,18,Female,State,50%,Yes,Yes,Bus,0,Sometimes,No,No,Yes,No,Fail
5138,18,96,Private,100%,No,Yes,Private,0,Always,Yes,No,No,Yes,BA
5139,18,Female,State,75%,Yes,Yes,Bus,12,Sometimes,No,No,Yes,Yes,Fail
5140,18,Female,State,75%,Yes,No,Bus,2,Sometimes,No,No,Yes,Yes,Fail
5141,22,Female,,50%,Yes,Yes,Private,0,Always,No,Yes,No,Yes,CC
5142,18,Female,State,75%,No,No,Private,0,Never,No,Yes,Yes,No,CC
5143,18,Female,Private,75%,No,No,Private,0,Always,Yes,No,No,No,AA
5144,22,Female,State,75%,Yes,Yes,Bus,12,Sometimes,No,Yes,No,Yes,CB
5145,18,Female,Private,100%,No,No,Private,12,Always,Yes,No,Yes,No,BB
